section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,M.S. Program Evaluation and Data Analytics,Arizona State University,Online,2026,Expected 2027,"Graduate coursework in program evaluation, data analytics, R programming, research design, and data visualization.",NA,NA
education,TRUE,Bachelor of Science in Public Health – Health Sciences,Portland State University / OHSU School of Public Health,"Portland, OR",2018,2020,Undergraduate degree focused on public health and health sciences.,NA,NA
education,TRUE,Associates of Applied Science — Health Sciences,Portland Community College,"Portland, OR",2016,2018,Undergraduate degree focused on health sciences.,NA,NA
research_positions,TRUE,Clinical Research Coordinator,UCSF Benioff Children’s Hospital Oakland,"Oakland, CA",2022,2024,"Coordinated oncology and hematology clinical research activities including participant screening, study visits, data entry, query resolution, and study documentation.","Prepared and maintained IRB submissions, continuing reviews, safety reports, consent documents, FDA 1572s, and regulatory binders in accordance with ICH-GCP and institutional requirements.","Supported monitoring visits, audit readiness, protocol compliance, and communication among investigators, sponsors, clinical teams, and research participants."
industry_positions,TRUE,Quality Coordinator,Cascade Life Alliance,"Portland, OR",2024,Present,"Conduct compliance reviews, audits, record abstraction, and corrective action tracking to support organizational quality and regulatory requirements.","Develop and maintain quality metrics using Excel and Power BI, including data validation, trend monitoring, and reporting for leadership and operational teams.","Support policy and SOP updates, quality improvement initiatives, and cross-functional projects focused on process improvement and organizational performance."
industry_positions,TRUE,COVID Response Coordinator,Caliber ChangeMakers Academy,"Vallejo, CA",2021,2022,"Coordinated COVID-19 response activities across clinical and operational teams, including case follow-up, exposure tracking, communication, and documentation during rapidly changing public health guidance.","Maintained and reviewed response data to support reporting, identify trends, and ensure timely follow-up on cases, testing, and workplace or patient-related exposures.",NA
industry_positions,TRUE,Tissue Donation Coordinator ,SightLife,"Portland, OR",2021,2021,"Assessed donation potential through clinical record review, medical history, donor risk assessment, and hospital collaboration in a regulated environment.",NA,NA
industry_positions,TRUE,Donation Specialist I/II ,Lions VisionGift,"Portland, OR",2020,2021,"Screened donor referrals, reviewed clinical records, assessed eligibility, coordinated recovery logistics, and performed first-line quality control and staff training.",NA,NA
industry_positions,TRUE,Phlebotomist ,Providence Outpatient Lab/ Adventist Medical Center,"Portland, OR",2017,2019,"Performed high-volume specimen collection, verified patient identity and orders, documented in Epic and Cerner, and maintained safety and quality requirements.",NA,NA
projects,TRUE,QAPI Initiative Impact Analysis,Cascade Life Alliance,"Portland, OR",2026,Present,Developed an evaluation framework to assess whether organizational quality improvement initiatives were associated with changes in key performance indicators.,"Structured monthly and quarterly KPI tracking to compare initiative implementation timelines with changes in onsite, approach, authorization, and conversion rates.",Applied program evaluation and statistical analysis concepts to support interpretation of initiative effectiveness and ongoing QAPI planning.
projects,TRUE,Organizational Culture Reporting Dashboard,Cascade Life Alliance,"Portland, OR",2026,Present,Lead development of a Power BI culture reporting project in collaboration with a business intelligence analyst.,"Defined reporting requirements, key performance indicators, visualizations, project timelines, and stakeholder needs.",Coordinated between operational leadership and technical partners to translate organizational priorities into actionable reporting.
projects,TRUE,Quality Metrics Reporting and Data Validation,Cascade Life Alliance,"Portland, OR",2026,Present,Support development and maintenance of quality performance reporting using Excel and Power BI.,Validate operational and quality data for accuracy and consistency prior to reporting and leadership review.,"Collaborate with cross-functional teams to identify reporting needs, investigate data discrepancies, and improve tracking processes."
